12,24,36,48,60,72,84,96,108,120,180,240,年月
0.297,0.739,1.092,1.6119999999999999,2.0380000000000003,2.436,2.795,2.985,3.096,3.165,3.571,3.725,199512
0.447,0.942,1.35,1.844,2.258,2.639,2.9,3.063,3.185,3.218,3.586,3.728,199601
0.714,1.313,1.753,2.224,2.571,2.891,3.08,3.214,3.346,3.448,3.779,3.886,199602
0.525,1.021,1.437,1.8940000000000001,2.274,2.6,2.8539999999999996,3.037,3.1260000000000003,3.204,3.551,3.741,199603
0.79,1.361,1.751,2.2430000000000003,2.591,2.875,3.1180000000000003,3.2569999999999997,3.343,3.432,3.773,3.903,199604
0.483,1.106,1.539,2.0069999999999997,2.3819999999999997,2.6489999999999996,2.903,3.077,3.1439999999999997,3.244,3.592,3.777,199605
0.564,1.147,1.569,2.046,2.398,2.6630000000000003,2.907,3.0610000000000004,3.128,3.263,3.578,3.763,199606
0.792,1.297,1.727,2.15,2.504,2.78,2.9930000000000003,3.177,3.238,3.306,3.648,3.827,199607
0.272,0.779,1.173,1.64,2.049,2.38,2.58,2.8680000000000003,2.931,3.009,3.411,3.593,199608
0.416,0.854,1.21,1.626,1.9869999999999999,2.299,2.53,2.728,2.8289999999999997,2.904,3.317,3.501,199609
0.28,0.621,0.938,1.337,1.6880000000000002,1.966,2.173,2.404,2.572,2.639,3.059,3.325,199610
0.287,0.609,0.916,1.264,1.605,1.893,2.13,2.332,2.521,2.594,3.041,3.335,199611
0.306,0.669,1.004,1.392,1.7830000000000001,2.082,2.342,2.51,2.674,2.778,3.179,3.451,199612
0.293,0.556,0.864,1.23,1.5759999999999998,1.864,2.113,2.312,2.4819999999999998,2.582,2.984,3.263,199701
0.331,0.563,0.891,1.247,1.601,1.893,2.15,2.35,2.512,2.602,3.031,3.257,199702
0.506,0.696,0.953,1.286,1.594,1.8359999999999999,2.0669999999999997,2.238,2.39,2.474,2.91,3.134,199703
0.69,0.939,1.165,1.462,1.739,1.986,2.214,2.347,2.483,2.558,2.966,3.108,199704
0.755,1.141,1.417,1.7369999999999999,1.9969999999999999,2.222,2.408,2.55,2.66,2.759,3.157,3.354,199705
0.634,0.939,1.234,1.5519999999999998,1.798,2.044,2.252,2.391,2.495,2.589,2.948,3.152,199706
0.464,0.728,0.961,1.295,1.551,1.7930000000000001,1.9969999999999999,2.149,2.251,2.375,2.732,2.976,199707
0.421,0.588,0.862,1.186,1.44,1.683,1.8869999999999998,2.059,2.158,2.256,2.635,2.897,199708
0.476,0.612,0.814,1.109,1.369,1.591,1.764,1.95,2.055,2.159,2.524,2.805,199709
0.444,0.545,0.758,1.0090000000000001,1.216,1.4040000000000001,1.516,1.703,1.79,1.873,2.246,2.503,199710
0.357,0.503,0.749,1.0270000000000001,1.262,1.486,1.5859999999999999,1.835,1.939,2.017,2.441,2.686,199711
0.562,0.652,0.853,1.097,1.298,1.4869999999999999,1.6059999999999999,1.766,1.8519999999999999,1.934,2.337,2.572,199712
0.644,0.796,1.01,1.236,1.4480000000000002,1.6230000000000002,1.735,1.8840000000000001,1.95,2.009,2.419,2.638,199801
0.542,0.643,0.853,1.088,1.297,1.495,1.645,1.7819999999999998,1.854,1.919,2.314,2.545,199802
0.537,0.628,0.842,1.056,1.249,1.436,1.578,1.7080000000000002,1.785,1.881,2.264,2.508,199803
0.438,0.527,0.72,0.93,1.136,1.319,1.4609999999999999,1.5919999999999999,1.676,1.759,2.155,2.401,199804
0.385,0.438,0.567,0.7490000000000001,0.925,1.082,1.218,1.3459999999999999,1.422,1.507,1.895,2.151,199805
0.462,0.588,0.736,0.909,1.081,1.244,1.3559999999999999,1.469,1.541,1.629,1.999,2.215,199806
0.435,0.541,0.674,0.8440000000000001,1.006,1.158,1.286,1.403,1.476,1.572,1.954,2.192,199807
0.371,0.432,0.559,0.711,0.851,0.986,1.084,1.195,1.262,1.338,1.708,1.954,199808
0.267,0.379,0.504,0.601,0.6609999999999999,0.7070000000000001,0.727,0.747,0.773,0.827,1.183,1.346,199809
0.218,0.32,0.471,0.556,0.64,0.698,0.7609999999999999,0.8009999999999999,0.845,0.879,1.296,1.481,199810
0.2,0.334,0.498,0.618,0.742,0.861,0.9790000000000001,1.032,1.074,1.134,1.626,1.819,199811
0.574,0.802,1.084,1.325,1.5230000000000001,1.7380000000000002,1.8869999999999998,1.97,1.999,2.117,2.637,2.699,199812
0.495,0.682,0.97,1.224,1.433,1.6219999999999999,1.814,1.9169999999999998,1.973,2.07,2.629,2.777,199901
0.288,0.4,0.624,0.904,1.176,1.399,1.61,1.775,1.8619999999999999,1.993,2.571,2.831,199902
0.211,0.348,0.475,0.682,0.9,1.103,1.331,1.501,1.594,1.716,2.295,2.531,199903
0.134,0.204,0.296,0.473,0.687,0.868,1.064,1.188,1.274,1.387,1.972,2.229,199904
0.086,0.12,0.233,0.408,0.611,0.8220000000000001,1.034,1.182,1.2930000000000001,1.448,2.053,2.337,199905
0.241,0.476,0.705,0.9309999999999999,1.1520000000000001,1.357,1.5530000000000002,1.706,1.754,1.868,2.505,2.808,199906
0.205,0.407,0.575,0.8240000000000001,1.038,1.2329999999999999,1.429,1.588,1.653,1.74,2.36,2.683,199907
0.142,0.375,0.561,0.878,1.14,1.3719999999999999,1.53,1.7109999999999999,1.787,1.911,2.439,2.684,199908
0.135,0.293,0.406,0.672,0.905,1.127,1.2890000000000001,1.432,1.5419999999999998,1.619,2.225,2.49,199909
0.127,0.286,0.414,0.6859999999999999,0.9440000000000001,1.204,1.42,1.587,1.7109999999999999,1.743,2.295,2.537,199910
0.192,0.411,0.564,0.8270000000000001,1.062,1.31,1.51,1.643,1.828,1.808,2.322,2.538,199911
0.184,0.36,0.477,0.733,0.94,1.168,1.361,1.4809999999999999,1.692,1.68,2.102,2.356,199912
0.192,0.403,0.542,0.7859999999999999,0.9890000000000001,1.193,1.348,1.49,1.645,1.671,2.086,2.285,200001
0.192,0.409,0.616,0.898,1.075,1.355,1.528,1.656,1.7369999999999999,1.827,2.224,2.375,200002
0.256,0.493,0.696,0.948,1.128,1.351,1.516,1.6340000000000001,1.682,1.776,2.058,2.199,200003
0.238,0.437,0.623,0.879,1.0959999999999999,1.3030000000000002,1.4669999999999999,1.5859999999999999,1.663,1.739,2.071,2.15,200004
0.21,0.403,0.573,0.8009999999999999,1.044,1.197,1.3530000000000002,1.485,1.587,1.648,1.965,2.065,200005
0.316,0.524,0.709,0.9279999999999999,1.131,1.287,1.4369999999999998,1.5519999999999998,1.652,1.712,1.997,2.116,200006
